,id,up,site,data-set,marker,name,number
1496,01062803,010628,4,國民政府/外交/僑務/糾紛,*,糾紛,3
1497,01062804,010628,4,國民政府/外交/僑務/移民,*,移民,6
1498,010629,0106,3,國民政府/外交/華僑事務,-,華僑事務,2836
1499,01062901,010629,4,國民政府/外交/華僑事務/華僑事務總目,*,華僑事務總目,4
1500,01062902,010629,4,國民政府/外交/華僑事務/僑情,*,僑情,43
1501,01062903,010629,4,國民政府/外交/華僑事務/華僑管理,*,華僑管理,5
1502,01062904,010629,4,國民政府/外交/華僑事務/華僑違法,*,華僑違法,13
1503,01062905,010629,4,國民政府/外交/華僑事務/華僑獎勵,*,華僑獎勵,23
1504,01062906,010629,4,國民政府/外交/華僑事務/華僑團體,*,華僑團體,14
1505,01062907,010629,4,國民政府/外交/華僑事務/僑團活動,*,僑團活動,27
1506,01062908,010629,4,國民政府/外交/華僑事務/華僑保護,*,華僑保護,92
1507,01062909,010629,4,國民政府/外交/華僑事務/華僑受害損失,*,華僑受害損失,15
1508,01062910,010629,4,國民政府/外交/華僑事務/各國排華,*,各國排華,207
1509,01062911,010629,4,國民政府/外交/華僑事務/華僑捐獻,*,華僑捐獻,2285
1510,01062912,010629,4,國民政府/外交/華僑事務/華僑救助,*,華僑救助,70
1511,01062913,010629,4,國民政府/外交/華僑事務/宣慰僑胞,*,宣慰僑胞,26
1512,01062914,010629,4,國民政府/外交/華僑事務/華僑經濟,*,華僑經濟,12
1513,010630,0106,3,國民政府/外交/華僑回國,-,華僑回國,14
1514,01063001,010630,4,國民政府/外交/華僑回國/華僑回國總目,*,華僑回國總目,5
1515,01063002,010630,4,國民政府/外交/華僑回國/觀光考察,*,觀光考察,3
1516,01063003,010630,4,國民政府/外交/華僑回國/回國服務,*,回國服務,6
1517,010631,0106,3,國民政府/外交/外僑事務,-,外僑事務,52
1518,01063101,010631,4,國民政府/外交/外僑事務/外僑事務總目,*,外僑事務總目,46
1519,01063102,010631,4,國民政府/外交/外僑事務/外僑遣送,*,外僑遣送,6
