,id,up,site,data-set,marker,name,number
243,014#meeting#M206,,2,,+,第六屆,1507
244,014#meeting#M207,,2,,+,第七屆,1892
245,014#meeting#M208,,2,,+,第八屆,2204
246,014#meeting#M209,,2,,+,第九屆,1667
247,014#meeting#M210,,2,,+,第十屆,2097
248,014#meeting#M211,,2,,+,第十一屆,2430
249,014#meeting#M212,,2,,+,第十二屆,2298
250,014#meeting#M213,,2,,+,第十三屆,2688
251,014#meeting#M214,,2,,+,第十四屆,3041
252,014#meeting#M215,,2,,+,第十五屆,2856
253,014#meeting#M216,,2,,+,第十六屆,3167
254,014#meeting#M217,,2,,+,第十七屆,4099
255,014#meeting#M218,,2,,+,第十八屆,2954
256,014#meeting#M219,,2,,+,第十九屆,1632
257,015#meeting#M101,,2,,+,第一屆,2086
258,015#meeting#M102,,2,,+,第二屆,2746
259,015#meeting#M103,,2,,+,第三屆,2475
260,015#meeting#M104,,2,,+,第四屆,2193
261,015#meeting#M105,,2,,+,第五屆,2657
262,015#meeting#M106,,2,,+,第六屆,2904
263,015#meeting#M107,,2,,+,第七屆,2440
264,015#meeting#M108,,2,,+,第八屆,3968
265,015#meeting#M109,,2,,+,第九屆,3163
266,015#meeting#M110,,2,,+,第十屆,2426
267,016#meeting#M101,,2,,+,第一屆,2142
268,016#meeting#M102,,2,,+,第二屆,2269
269,016#meeting#M103,,2,,+,第三屆,3482
270,016#meeting#M104,,2,,+,第四屆,1901
271,016#meeting#M105,,2,,+,第五屆,1873
272,016#meeting#M106,,2,,+,第六屆,3078
273,016#meeting#M107,,2,,+,第七屆,4087
274,016#meeting#M108,,2,,+,第八屆,3823
275,016#meeting#M109,,2,,+,第九屆,3491
276,016#meeting#M110,,2,,+,第十屆,4045
277,016#meeting#M111,,2,,+,第十一屆,3331
278,016#meeting#M112,,2,,+,第十二屆,2660
279,016#meeting#M113,,2,,+,第十三屆,6143
280,016#meeting#M114,,2,,+,第十四屆,6741
281,016#meeting#M115,,2,,+,第十五屆,4708
282,016#meeting#M116,,2,,+,第十六屆,4532
283,016#meeting#M117,,2,,+,第十七屆,4382
284,016#meeting#M118,,2,,+,第十八屆,3905
285,016#meeting#M119,,2,,+,第十九屆,2497
286,016#meeting#M120,,2,,+,第19屆,65
287,017#meeting#M101,,2,,+,第四屆,516
288,017#meeting#M102,,2,,+,第五屆,542
289,017#meeting#M103,,2,,+,第六屆,685
290,017#meeting#M104,,2,,+,第七屆,685
291,017#meeting#M105,,2,,+,第八屆,597
292,017#meeting#M106,,2,,+,第九屆,279
293,017#meeting#M107,,2,,+,第十屆,537
294,017#meeting#M108,,2,,+,第十一屆,497
295,017#meeting#M109,,2,,+,第十二屆,478
296,017#meeting#M110,,2,,+,第十三屆,465
297,017#meeting#M111,,2,,+,第十四屆,496
298,017#meeting#M112,,2,,+,第十五屆,547
299,017#meeting#M113,,2,,+,第十六屆,548
300,017#meeting#M114,,2,,+,第十七屆,585
301,018#meeting#M101,,2,,+,第12屆,4765
302,018#meeting#M102,,2,,+,第十八屆,2781
303,018#meeting#M103,,2,,+,第十九屆,1389
304,019#meeting#M101,,2,,+,第一屆,1924
305,019#meeting#M102,,2,,+,第二屆,2283
306,019#meeting#M103,,2,,+,第三屆,3264
307,019#meeting#M104,,2,,+,第四屆,2185
308,019#meeting#M105,,2,,+,第五屆,1994
309,019#meeting#M106,,2,,+,第六屆,2401
310,019#meeting#M107,,2,,+,第七屆,3250
311,019#meeting#M108,,2,,+,第八屆,3406
312,019#meeting#M109,,2,,+,第九屆,3003
313,019#meeting#M110,,2,,+,第十屆,4015
314,019#meeting#M111,,2,,+,第十一屆,3795
315,019#meeting#M112,,2,,+,第十二屆,2898
316,019#meeting#M113,,2,,+,第十三屆,2506
317,019#meeting#M114,,2,,+,第十四屆,2690
318,019#meeting#M115,,2,,+,第十五屆,3476
319,019#meeting#M116,,2,,+,第十六屆,5518
320,019#meeting#M117,,2,,+,第十七屆,5669
321,019#meeting#M118,,2,,+,第十八屆,3782
322,020#meeting#M101,,2,,+,第一屆,614
323,020#meeting#M201,,2,,+,第十六屆,1485
324,020#meeting#M202,,2,,+,第十七屆,1927
325,020#meeting#M203,,2,,+,第十八屆,883
326,021#meeting#M101,,2,,+,第一屆,2554
327,021#meeting#M102,,2,,+,第二屆,1847
328,021#meeting#M103,,2,,+,第三屆,2381
329,021#meeting#M104,,2,,+,第四屆,2256
330,021#meeting#M105,,2,,+,第五屆,2720
331,021#meeting#M106,,2,,+,第六屆,2549
332,021#meeting#M107,,2,,+,第七屆,2480
333,021#meeting#M108,,2,,+,第八屆,2869
334,021#meeting#M109,,2,,+,第9屆,3110
335,021#meeting#M110,,2,,+,第10屆,2422
336,022#meeting#M101,,2,,+,第一屆,176
337,023#meeting#M101,,2,,+,第十五屆,2987
338,023#meeting#M102,,2,,+,第十六屆,3098
339,023#meeting#M103,,2,,+,第十七屆,4079
340,023#meeting#M104,,2,,+,第十八屆,4420
341,023#meeting#M105,,2,,+,第十九屆,3149
342,024#meeting#M101,,2,,+,第一屆,1212
343,024#meeting#M201,,2,,+,第一屆,3377
344,024#meeting#M202,,2,,+,第二屆,3322
345,024#meeting#M203,,2,,+,第三屆,4491
346,024#meeting#M204,,2,,+,第四屆,2561
347,024#meeting#M205,,2,,+,第五屆,2523
348,024#meeting#M206,,2,,+,第六屆,2770
349,024#meeting#M207,,2,,+,第七屆,3886
350,024#meeting#M208,,2,,+,第八屆,3918
351,024#meeting#M209,,2,,+,第九屆,3783
352,024#meeting#M210,,2,,+,第十屆,3848
353,024#meeting#M211,,2,,+,第十一屆,4774
354,024#meeting#M212,,2,,+,第十二屆,5642
355,024#meeting#M213,,2,,+,第十三屆,5499
356,024#meeting#M214,,2,,+,第十四屆,4938
357,024#meeting#M215,,2,,+,第十五屆,5301
358,024#meeting#M216,,2,,+,第十六屆,5426
359,024#meeting#M217,,2,,+,第十六屆、第十七屆,675
360,024#meeting#M218,,2,,+,第十七屆,4518
361,024#meeting#M219,,2,,+,第十八屆,49
362,024#meeting#M220,,2,,+,第十九屆,3110
363,025#meeting#M101,,2,,+,第一屆,23
364,025#meeting#M201,,2,,+,第十七屆,478
365,026#meeting#M101,,2,,+,第一屆,96
366,026#meeting#M201,,2,,+,第一屆,1243
367,026#meeting#M202,,2,,+,第二屆,1052
368,026#meeting#M203,,2,,+,第三屆,1809
369,026#meeting#M204,,2,,+,第四屆,1810
370,026#meeting#M205,,2,,+,第五屆,2368
371,026#meeting#M206,,2,,+,第六屆,2170
372,026#meeting#M207,,2,,+,第七屆,2424
373,026#meeting#M208,,2,,+,第八屆,2322
374,026#meeting#M209,,2,,+,第九屆,2051
375,026#meeting#M210,,2,,+,第十屆,2435
376,026#meeting#M211,,2,,+,第十一屆,3523
377,026#meeting#M212,,2,,+,第十二屆,3371
378,026#meeting#M213,,2,,+,第十三屆,3317
379,026#meeting#M214,,2,,+,第十四屆,3121
380,026#meeting#M215,,2,,+,第十五屆,1482
381,026#meeting#M216,,2,,+,第十六屆,1342
382,026#meeting#M217,,2,,+,第十七屆,2059
383,026#meeting#M218,,2,,+,第十八屆,706
384,027#meeting#M101,,2,,+,第一屆,1166
385,027#meeting#M102,,2,,+,第二屆,607
386,027#meeting#M103,,2,,+,第三屆,674
387,027#meeting#M104,,2,,+,第四屆,488
388,027#meeting#M105,,2,,+,第五屆,700
389,027#meeting#M106,,2,,+,第六屆,199
390,028#meeting#M101,,2,,+,第一屆,572
391,003#meeting#M10101,,3,,+,第一次定期大會,388
392,003#meeting#M10102,,3,,+,第二次定期大會,555
393,003#meeting#M10103,,3,,+,第三次定期大會,389
394,003#meeting#M10104,,3,,+,第四次定期大會,415
395,003#meeting#M10105,,3,,+,第五次定期大會,478
396,003#meeting#M10106,,3,,+,第六次定期大會,441
397,003#meeting#M10107,,3,,+,第七次定期大會,254
398,003#meeting#M10108,,3,,+,第八次定期大會,194
399,003#meeting#M10109,,3,,+,第九次定期大會,257
400,003#meeting#M10110,,3,,+,第十次定期大會,328
401,003#meeting#M10111,,3,,+,第十一次定期大會,386
402,003#meeting#M20101,,3,,+,第三次定期大會,1455
403,003#meeting#M20102,,3,,+,第一次定期大會,789
404,003#meeting#M20103,,3,,+,第二次定期大會,1051
405,003#meeting#M20104,,3,,+,第四次定期大會,1337
406,003#meeting#M20105,,3,,+,第五次定期大會,1244
407,003#meeting#M20201,,3,,+,第一次臨時大會,56
408,003#meeting#M20202,,3,,+,第一次定期大會,2592
409,003#meeting#M20203,,3,,+,第二次臨時大會,570
410,003#meeting#M20204,,3,,+,第二次定期大會,1570
411,003#meeting#M20205,,3,,+,第三次臨時大會,33
412,003#meeting#M20206,,3,,+,第三次定期大會,1579
413,003#meeting#M20207,,3,,+,第四次定期大會,1727
414,003#meeting#M20208,,3,,+,第五次定期大會,1463
415,003#meeting#M20209,,3,,+,第六次定期大會,1085
416,003#meeting#M20210,,3,,+,成立大會,52
417,003#meeting#M20301,,3,,+,第一次臨時大會,120
418,003#meeting#M20302,,3,,+,第一次定期大會,3029
